id,number,type,status,propertyId,createdAt,area,baths,floor,rooms
78,Shop-4,YEARLY,AVAILABLE,4,2025-10-15T14:59:50.834Z,,1,0,1
79,Shop-5,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.019Z,,1,0,1
80,Shop-6,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.190Z,,1,0,1
81,Shop-7,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.393Z,,1,0,1
82,Shop-8,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.564Z,,1,0,1
83,Shop-9,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.750Z,,1,0,1
84,Shop-10,YEARLY,AVAILABLE,4,2025-10-15T14:59:51.937Z,,1,0,1
161,101,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.464Z,,1,1,1
162,102,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.468Z,,1,1,1
163,103,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.470Z,,1,1,1
164,104,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.473Z,,1,1,1
165,105,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.475Z,,1,1,1
166,106,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.477Z,,1,1,1
167,107,DAILY,AVAILABLE,1,2025-10-14T23:10:01.479Z,,1,1,1
168,108,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.481Z,,1,1,1
169,201,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.483Z,,1,2,1
170,202,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.485Z,,1,2,1
171,203,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.487Z,,1,2,1
172,204,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.488Z,,1,2,1
173,205,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.490Z,,1,2,1
174,206,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.492Z,,1,2,1
175,207,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.493Z,,1,2,1
176,208,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.495Z,,1,2,1
177,301,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.497Z,,1,3,1
178,302,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.499Z,,1,3,1
179,303,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.500Z,,1,3,1
180,304,DAILY,AVAILABLE,1,2025-10-14T23:10:01.502Z,,1,3,1
181,305,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.504Z,,1,3,1
182,306,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.506Z,,1,3,1
183,307,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.507Z,,1,3,1
184,308,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.509Z,,1,3,1
185,401,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.510Z,,1,4,1
186,402,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.512Z,,1,4,1
187,403,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.514Z,,1,4,1
188,404,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.515Z,,1,4,1
189,405,MONTHLY,AVAILABLE,1,2025-10-14T23:10:01.516Z,,1,4,1
190,406,MONTHLY,OCCUPIED,1,2025-10-14T23:10:01.518Z,,1,4,1
